text,author,tags,born_date,born_location,image_urls,images
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,"life,simile","March 14, 1879","in Ulm, Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Einstein_1921_by_F_Schmutzer_-_restoration.jpg/1280px-Einstein_1921_by_F_Schmutzer_-_restoration.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Einstein_1921_by_F_Schmutzer_-_restoration.jpg/1280px-Einstein_1921_by_F_Schmutzer_-_restoration.jpg', 'path': 'full/4f5cac5a8fd769e8d99283af96dd5d4f80464d48.jpg', 'checksum': 'feb6831cb8cd65d196be883f73c7f277', 'status': 'downloaded'}]"
"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",Marilyn Monroe,attributed-no-source,"June 01, 1926",in The United States,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Monroecirca1953.jpg/1280px-Monroecirca1953.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Monroecirca1953.jpg/1280px-Monroecirca1953.jpg', 'path': 'full/a5dbd7a02894fea219a7d97d143130925fa63df0.jpg', 'checksum': '22b4c9e294b1e74d03ab6932ca2e93d2', 'status': 'downloaded'}]"
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Dr. Seuss,"learning,reading,seuss","March 02, 1904","in Springfield, MA, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Theodor_Seuss_Geisel_%2801037v%29.jpg/1280px-Theodor_Seuss_Geisel_%2801037v%29.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Theodor_Seuss_Geisel_%2801037v%29.jpg/1280px-Theodor_Seuss_Geisel_%2801037v%29.jpg', 'path': 'full/efd5db5436af552b4f8a479188b629cdc50e56a2.jpg', 'checksum': '231d2a5d905de0f7c0fa82a569715cd1', 'status': 'downloaded'}]"
"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James Baldwin,love,"August 02, 1924","in Harlem, New York, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/James_Baldwin_37_Allan_Warren_%28cropped%29.jpg/250px-James_Baldwin_37_Allan_Warren_%28cropped%29.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/James_Baldwin_37_Allan_Warren_%28cropped%29.jpg/250px-James_Baldwin_37_Allan_Warren_%28cropped%29.jpg', 'path': 'full/ad8028585ef13aee0940527a824512239e3a67e3.jpg', 'checksum': '58b77cee6ec65fffffc45a7d84d71b64', 'status': 'downloaded'}]"
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,"books,inspirational,reading,tea","November 29, 1898","in Belfast, Ireland",https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/C.s.lewis3.JPG/1280px-C.s.lewis3.JPG,"[{'url': 'https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/C.s.lewis3.JPG/1280px-C.s.lewis3.JPG', 'path': 'full/c8c7af0f86f82275a53f26bd9f4fca2723665431.jpg', 'checksum': '724d7313ea3073425132343482900577', 'status': 'downloaded'}]"
“Only in the darkness can you see the stars.”,Martin Luther King Jr.,"hope,inspirational","January 15, 1929","in Atlanta, Georgia, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Martin_Luther_King%2C_Jr..jpg/1280px-Martin_Luther_King%2C_Jr..jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Martin_Luther_King%2C_Jr..jpg/1280px-Martin_Luther_King%2C_Jr..jpg', 'path': 'full/81ee6d5c22eac1cb9d305d758af5723a4df22954.jpg', 'checksum': 'bfd6d528fae9c26f9c39ab1e35da5848', 'status': 'downloaded'}]"
"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",Albert Einstein,music,"March 14, 1879","in Ulm, Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Einstein_1921_by_F_Schmutzer_-_restoration.jpg/1280px-Einstein_1921_by_F_Schmutzer_-_restoration.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Einstein_1921_by_F_Schmutzer_-_restoration.jpg/1280px-Einstein_1921_by_F_Schmutzer_-_restoration.jpg', 'path': 'full/4f5cac5a8fd769e8d99283af96dd5d4f80464d48.jpg', 'checksum': 'feb6831cb8cd65d196be883f73c7f277', 'status': 'downloaded'}]"
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",George R.R. Martin,"read,readers,reading,reading-books","September 20, 1948","in Bayonne, New Jersey, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Portrait_photoshoot_at_Worldcon_75%2C_Helsinki%2C_before_the_Hugo_Awards_%E2%80%93_George_R._R._Martin.jpg/1280px-Portrait_photoshoot_at_Worldcon_75%2C_Helsinki%2C_before_the_Hugo_Awards_%E2%80%93_George_R._R._Martin.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Portrait_photoshoot_at_Worldcon_75%2C_Helsinki%2C_before_the_Hugo_Awards_%E2%80%93_George_R._R._Martin.jpg/1280px-Portrait_photoshoot_at_Worldcon_75%2C_Helsinki%2C_before_the_Hugo_Awards_%E2%80%93_George_R._R._Martin.jpg', 'path': 'full/f847ef1b8dbce7af90b54cdb157ea235a513c824.jpg', 'checksum': '9ee0de2ea81f5c3481891befc8300072', 'status': 'downloaded'}]"
“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas fils,misattributed-to-einstein,"July 27, 1824","in Paris, France",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Alexandre_Dumas_fils.jpg/1280px-Alexandre_Dumas_fils.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Alexandre_Dumas_fils.jpg/1280px-Alexandre_Dumas_fils.jpg', 'path': 'full/b33d925882291a281a54863e21db6668c5faed5d.jpg', 'checksum': '610edac98ece16323b9826b3c1702aca', 'status': 'downloaded'}]"
“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,Ralph Waldo Emerson,"life,regrets","May 25, 1803","in Boston, Massachusetts, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Ralph_Waldo_Emerson_ca1857_retouched.jpg/1280px-Ralph_Waldo_Emerson_ca1857_retouched.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Ralph_Waldo_Emerson_ca1857_retouched.jpg/1280px-Ralph_Waldo_Emerson_ca1857_retouched.jpg', 'path': 'full/78a2a1fdfa184c2ba291f6601dca9b3c90974eec.jpg', 'checksum': 'ded7cd8a132dac8a099231676ee1abc2', 'status': 'downloaded'}]"
“I have never let my schooling interfere with my education.”,Mark Twain,education,"November 30, 1835","in Florida, Missouri, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Mark_Twain_by_AF_Bradley.jpg/1280px-Mark_Twain_by_AF_Bradley.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Mark_Twain_by_AF_Bradley.jpg/1280px-Mark_Twain_by_AF_Bradley.jpg', 'path': 'full/5aa96ae7741a7f449062a8fa21d9ba04be349c10.jpg', 'checksum': '2c8792bf9e2702de215ea8a5099d31fb', 'status': 'downloaded'}]"
"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",Marilyn Monroe,attributed-no-source,"June 01, 1926",in The United States,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Monroecirca1953.jpg/1280px-Monroecirca1953.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Monroecirca1953.jpg/1280px-Monroecirca1953.jpg', 'path': 'full/a5dbd7a02894fea219a7d97d143130925fa63df0.jpg', 'checksum': '22b4c9e294b1e74d03ab6932ca2e93d2', 'status': 'downloaded'}]"
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen,"friendship,love","December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/CassandraAusten-JaneAusten%28c.1810%29_hires.jpg/200px-CassandraAusten-JaneAusten%28c.1810%29_hires.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/CassandraAusten-JaneAusten%28c.1810%29_hires.jpg/200px-CassandraAusten-JaneAusten%28c.1810%29_hires.jpg', 'path': 'full/202f06476c6ec2028a863a18c060034b47f77caa.jpg', 'checksum': '32e019a45a472738ef82f8f1c5aeac41', 'status': 'downloaded'}]"
“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,Dr. Seuss,troubles,"March 02, 1904","in Springfield, MA, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Theodor_Seuss_Geisel_%2801037v%29.jpg/1280px-Theodor_Seuss_Geisel_%2801037v%29.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Theodor_Seuss_Geisel_%2801037v%29.jpg/1280px-Theodor_Seuss_Geisel_%2801037v%29.jpg', 'path': 'full/efd5db5436af552b4f8a479188b629cdc50e56a2.jpg', 'checksum': '231d2a5d905de0f7c0fa82a569715cd1', 'status': 'downloaded'}]"
“Do one thing every day that scares you.”,Eleanor Roosevelt,"attributed,fear,inspiration","October 11, 1884",in The United States,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Eleanor_Roosevelt_portrait_1933.jpg/1280px-Eleanor_Roosevelt_portrait_1933.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Eleanor_Roosevelt_portrait_1933.jpg/1280px-Eleanor_Roosevelt_portrait_1933.jpg', 'path': 'full/24594026b2fd1f9f66411dfa09e9ea1dd5ebc57e.jpg', 'checksum': '7a9a703615eef9afddd8b6adb6e84031', 'status': 'downloaded'}]"
"“He's like a drug for you, Bella.”",Stephenie Meyer,"drug,romance,simile","December 24, 1973","in Connecticut, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Stephenie_Meyer_by_Gage_Skidmore.jpg/1280px-Stephenie_Meyer_by_Gage_Skidmore.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Stephenie_Meyer_by_Gage_Skidmore.jpg/1280px-Stephenie_Meyer_by_Gage_Skidmore.jpg', 'path': 'full/4c34b18d81aa4362260a5bcb1c1d946666abd863.jpg', 'checksum': '011fad72f841b3667ef4d5125e25987e', 'status': 'downloaded'}]"
"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",C.S. Lewis,love,"November 29, 1898","in Belfast, Ireland",https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/C.s.lewis3.JPG/1280px-C.s.lewis3.JPG,"[{'url': 'https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/C.s.lewis3.JPG/1280px-C.s.lewis3.JPG', 'path': 'full/c8c7af0f86f82275a53f26bd9f4fca2723665431.jpg', 'checksum': '724d7313ea3073425132343482900577', 'status': 'downloaded'}]"
“There is no friend as loyal as a book.”,Ernest Hemingway,"books,friends,novelist-quotes","July 21, 1899","in Oak Park, Illinois, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/ErnestHemingway.jpg/1280px-ErnestHemingway.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/ErnestHemingway.jpg/1280px-ErnestHemingway.jpg', 'path': 'full/4a62ed7255305f0c52b4ec2a211531ff6ac62d93.jpg', 'checksum': 'a0e2704f4cd88d14f08d41d169a09c81', 'status': 'downloaded'}]"
“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,Ernest Hemingway,"good,writing","July 21, 1899","in Oak Park, Illinois, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/ErnestHemingway.jpg/1280px-ErnestHemingway.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/ErnestHemingway.jpg/1280px-ErnestHemingway.jpg', 'path': 'full/4a62ed7255305f0c52b4ec2a211531ff6ac62d93.jpg', 'checksum': 'a0e2704f4cd88d14f08d41d169a09c81', 'status': 'downloaded'}]"
"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami,"books,thought","January 12, 1949","in Kyoto, Japan",https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Murakami_Haruki_%282009%29.jpg/1280px-Murakami_Haruki_%282009%29.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Murakami_Haruki_%282009%29.jpg/1280px-Murakami_Haruki_%282009%29.jpg', 'path': 'full/91e402033271f1dc4f8906e75cab73c223331eb8.jpg', 'checksum': '63f8a9046d1fefa5bdc04da745999c60', 'status': 'downloaded'}]"
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller,inspirational,"June 27, 1880","in Tuscumbia, Alabama, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Helen_Keller_circa_1920_-_restored.jpg/1280px-Helen_Keller_circa_1920_-_restored.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Helen_Keller_circa_1920_-_restored.jpg/1280px-Helen_Keller_circa_1920_-_restored.jpg', 'path': 'full/fc34939ff7adbdbfd87347badbd5656999df1807.jpg', 'checksum': '9ecdfb0e267c66a9bae2c55a61643c07', 'status': 'downloaded'}]"
"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",J.K. Rowling,live-death-love,"July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/1280px-J._K._Rowling_2010.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/1280px-J._K._Rowling_2010.jpg', 'path': 'full/67931e69367794fed5aba6adfce69cc8c6a2792b.jpg', 'checksum': 'ed591c7b7e9bf1d935519a56a252a23c', 'status': 'downloaded'}]"
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",Charles Bukowski,alcohol,"August 16, 1920","in Andernach, Germany",https://upload.wikimedia.org/wikipedia/en/e/e2/Charles_Bukowski_smoking.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/en/e/e2/Charles_Bukowski_smoking.jpg', 'path': 'full/ac61d811231cde4774a9d46abbbb637e89a85b45.jpg', 'checksum': '20d43f6121fc874999a67de986fd14e1', 'status': 'downloaded'}]"
“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,"inspirational,life,yourself","July 26, 1856","in Dublin, Ireland",https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Bernard-Shaw-ILN-1911-original.jpg/1280px-Bernard-Shaw-ILN-1911-original.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Bernard-Shaw-ILN-1911-original.jpg/1280px-Bernard-Shaw-ILN-1911-original.jpg', 'path': 'full/e52c69097b297d371366cbbb375866bc850f6309.jpg', 'checksum': 'f7b23bcf714c08d8e5df5dd28e109f60', 'status': 'downloaded'}]"
“′Classic′ - a book which people praise and don't read.”,Mark Twain,"books,classic,reading","November 30, 1835","in Florida, Missouri, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Mark_Twain_by_AF_Bradley.jpg/1280px-Mark_Twain_by_AF_Bradley.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Mark_Twain_by_AF_Bradley.jpg/1280px-Mark_Twain_by_AF_Bradley.jpg', 'path': 'full/5aa96ae7741a7f449062a8fa21d9ba04be349c10.jpg', 'checksum': '2c8792bf9e2702de215ea8a5099d31fb', 'status': 'downloaded'}]"
“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski,humor,"August 16, 1920","in Andernach, Germany",https://upload.wikimedia.org/wikipedia/en/e/e2/Charles_Bukowski_smoking.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/en/e/e2/Charles_Bukowski_smoking.jpg', 'path': 'full/ac61d811231cde4774a9d46abbbb637e89a85b45.jpg', 'checksum': '20d43f6121fc874999a67de986fd14e1', 'status': 'downloaded'}]"
"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",Dr. Seuss,"humor,philosophy","March 02, 1904","in Springfield, MA, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Theodor_Seuss_Geisel_%2801037v%29.jpg/1280px-Theodor_Seuss_Geisel_%2801037v%29.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Theodor_Seuss_Geisel_%2801037v%29.jpg/1280px-Theodor_Seuss_Geisel_%2801037v%29.jpg', 'path': 'full/efd5db5436af552b4f8a479188b629cdc50e56a2.jpg', 'checksum': '231d2a5d905de0f7c0fa82a569715cd1', 'status': 'downloaded'}]"
“Not all those who wander are lost.”,J.R.R. Tolkien,"bilbo,journey,lost,quest,travel,wander","January 03, 1892","in Bloemfontein, Mangaung, Free State, South Africa",https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/J._R._R._Tolkien%2C_1940s.jpg/1280px-J._R._R._Tolkien%2C_1940s.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/J._R._R._Tolkien%2C_1940s.jpg/1280px-J._R._R._Tolkien%2C_1940s.jpg', 'path': 'full/f14e5133d14f46e5409c05ff95224dca7008939a.jpg', 'checksum': 'f77838b775f9491f1139935529822060', 'status': 'downloaded'}]"
“You don’t forget the face of the person who was your last hope.”,Suzanne Collins,the-hunger-games,"August 11, 1962","in Hartford, Connecticut, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Suzanne_Collins_David_Shankbone_2010.jpg/1280px-Suzanne_Collins_David_Shankbone_2010.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Suzanne_Collins_David_Shankbone_2010.jpg/1280px-Suzanne_Collins_David_Shankbone_2010.jpg', 'path': 'full/62745732859f1100dc379dcf1078145b1d108fe6.jpg', 'checksum': '062e6aaed6a777352bfab56b02250c2f', 'status': 'downloaded'}]"
"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",Suzanne Collins,humor,"August 11, 1962","in Hartford, Connecticut, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Suzanne_Collins_David_Shankbone_2010.jpg/1280px-Suzanne_Collins_David_Shankbone_2010.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Suzanne_Collins_David_Shankbone_2010.jpg/1280px-Suzanne_Collins_David_Shankbone_2010.jpg', 'path': 'full/62745732859f1100dc379dcf1078145b1d108fe6.jpg', 'checksum': '062e6aaed6a777352bfab56b02250c2f', 'status': 'downloaded'}]"
“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin,"humor,insanity,lies,lying,self-indulgence,truth","May 12, 1937","in New York, New York, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/George_Carlin_1975_%28Little_David_Records%29_Publicity.jpg/1280px-George_Carlin_1975_%28Little_David_Records%29_Publicity.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/George_Carlin_1975_%28Little_David_Records%29_Publicity.jpg/1280px-George_Carlin_1975_%28Little_David_Records%29_Publicity.jpg', 'path': 'full/36a64ba60d76e13ce409e75456bcc6846cabcb4c.jpg', 'checksum': 'b013939d3e2af8c69c1eb8b68ea8cc7c', 'status': 'downloaded'}]"
“The question isn't who is going to let me; it's who is going to stop me.”,Ayn Rand,,"February 02, 1905","in St. Petersburg, Russian Federation",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Ayn_Rand_%281943_Talbot_portrait%29.jpg/1280px-Ayn_Rand_%281943_Talbot_portrait%29.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Ayn_Rand_%281943_Talbot_portrait%29.jpg/1280px-Ayn_Rand_%281943_Talbot_portrait%29.jpg', 'path': 'full/21d89f3c2d9581362561d718e02b1cfcc5b66795.jpg', 'checksum': '040931a599b81b71e457415e24e117ff', 'status': 'downloaded'}]"
"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",Jane Austen,"humor,love,romantic,women","December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/CassandraAusten-JaneAusten%28c.1810%29_hires.jpg/200px-CassandraAusten-JaneAusten%28c.1810%29_hires.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/CassandraAusten-JaneAusten%28c.1810%29_hires.jpg/200px-CassandraAusten-JaneAusten%28c.1810%29_hires.jpg', 'path': 'full/202f06476c6ec2028a863a18c060034b47f77caa.jpg', 'checksum': '32e019a45a472738ef82f8f1c5aeac41', 'status': 'downloaded'}]"
"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",Terry Pratchett,"humor,open-mind,thinking","April 28, 1948","in Beaconsfield, Buckinghamshire, England, The United Kingdom",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/10.12.12TerryPratchettByLuigiNovi1.jpg/1280px-10.12.12TerryPratchettByLuigiNovi1.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/10.12.12TerryPratchettByLuigiNovi1.jpg/1280px-10.12.12TerryPratchettByLuigiNovi1.jpg', 'path': 'full/684c76b9c2ec1dcfaf47b60dfa7e1fc8cdbf5de9.jpg', 'checksum': 'c8e09dbdd45e40eb60cce50436681266', 'status': 'downloaded'}]"
“Some day you will be old enough to start reading fairy tales again.”,C.S. Lewis,"age,fairytales,growing-up","November 29, 1898","in Belfast, Ireland",https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/C.s.lewis3.JPG/1280px-C.s.lewis3.JPG,"[{'url': 'https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/C.s.lewis3.JPG/1280px-C.s.lewis3.JPG', 'path': 'full/c8c7af0f86f82275a53f26bd9f4fca2723665431.jpg', 'checksum': '724d7313ea3073425132343482900577', 'status': 'downloaded'}]"
"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”",Jane Austen,"elizabeth-bennet,jane-austen","December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/CassandraAusten-JaneAusten%28c.1810%29_hires.jpg/200px-CassandraAusten-JaneAusten%28c.1810%29_hires.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/CassandraAusten-JaneAusten%28c.1810%29_hires.jpg/200px-CassandraAusten-JaneAusten%28c.1810%29_hires.jpg', 'path': 'full/202f06476c6ec2028a863a18c060034b47f77caa.jpg', 'checksum': '32e019a45a472738ef82f8f1c5aeac41', 'status': 'downloaded'}]"
"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",Jane Austen,"books,library,reading","December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/CassandraAusten-JaneAusten%28c.1810%29_hires.jpg/200px-CassandraAusten-JaneAusten%28c.1810%29_hires.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/CassandraAusten-JaneAusten%28c.1810%29_hires.jpg/200px-CassandraAusten-JaneAusten%28c.1810%29_hires.jpg', 'path': 'full/202f06476c6ec2028a863a18c060034b47f77caa.jpg', 'checksum': '32e019a45a472738ef82f8f1c5aeac41', 'status': 'downloaded'}]"
“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,C.S. Lewis,god,"November 29, 1898","in Belfast, Ireland",https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/C.s.lewis3.JPG/1280px-C.s.lewis3.JPG,"[{'url': 'https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/C.s.lewis3.JPG/1280px-C.s.lewis3.JPG', 'path': 'full/c8c7af0f86f82275a53f26bd9f4fca2723665431.jpg', 'checksum': '724d7313ea3073425132343482900577', 'status': 'downloaded'}]"
“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,Mark Twain,"death,life","November 30, 1835","in Florida, Missouri, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Mark_Twain_by_AF_Bradley.jpg/1280px-Mark_Twain_by_AF_Bradley.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Mark_Twain_by_AF_Bradley.jpg/1280px-Mark_Twain_by_AF_Bradley.jpg', 'path': 'full/5aa96ae7741a7f449062a8fa21d9ba04be349c10.jpg', 'checksum': '2c8792bf9e2702de215ea8a5099d31fb', 'status': 'downloaded'}]"
“I am free of all prejudice. I hate everyone equally. ”,W.C. Fields,"humor,sinister","January 29, 1880","in Darby, Pennsylvania, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/W._C._Fields_1938.jpg/1280px-W._C._Fields_1938.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/W._C._Fields_1938.jpg/1280px-W._C._Fields_1938.jpg', 'path': 'full/0cc6352749b15c06245e7542ad46dbeb2fbeb99e.jpg', 'checksum': '9fa8419353954330b7b9691a8550c337', 'status': 'downloaded'}]"
"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",J.K. Rowling,integrity,"July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/1280px-J._K._Rowling_2010.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/1280px-J._K._Rowling_2010.jpg', 'path': 'full/67931e69367794fed5aba6adfce69cc8c6a2792b.jpg', 'checksum': 'ed591c7b7e9bf1d935519a56a252a23c', 'status': 'downloaded'}]"
"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",John Lennon,"beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace","October 09, 1940","in Liverpool, England, The United Kingdom",https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/John_Lennon_1969_%28cropped%29.jpg/1280px-John_Lennon_1969_%28cropped%29.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/John_Lennon_1969_%28cropped%29.jpg/1280px-John_Lennon_1969_%28cropped%29.jpg', 'path': 'full/9c318106fc580d4a8551b5e58bccca96f1cd33d2.jpg', 'checksum': 'd3edd60eeb70d40002ccc1dca72f93a1', 'status': 'downloaded'}]"
