PK_player,first_name,last_name,hand,born_date,country,urls
100801,Richard,Akel,L,19620212.0,USA,https://en.wikipedia.org/wiki/Richard_Kelly_(director)
115438,Maurice,Bayon,,,UNK,"https://en.wikipedia.org/wiki/Maurice,_Baron_de_Hirsch"
131270,Eric,Darque,U,19680225.0,FRA,https://en.wikipedia.org/wiki/Eric_Marques
135254,Damian,Mico,R,19920701.0,ESP,"https://en.wikipedia.org/wiki/Damian,_Michael"
123333,Mihai,Iliescu,U,19710202.0,ROU,https://en.wikipedia.org/wiki/Mihai_Iliescu
139621,Domenico,Salvati,U,19801129.0,ITA,https://en.wikipedia.org/wiki/Domenico_Salvatori
118490,Tom,Lloyd,U,19810304.0,USA,https://en.wikipedia.org/wiki/Tom_Lloyd
113288,C Alphonso,Smith,,,USA,https://en.wikipedia.org/wiki/C._Alphonso_Smith
130817,Steve,Shannon,U,19620810.0,CAN,https://en.wikipedia.org/wiki/Steve_Shannon
111896,A,Lawrie,,,AUS,https://en.wikipedia.org/wiki/Alan_Riechelmann
111904,T,Cummings,,,AUS,https://en.wikipedia.org/wiki/T._J._Cummings
110197,James,Mcardle,U,19200501.0,IRL,https://en.wikipedia.org/wiki/James_McArdle
104507,Jeffrey,Das,R,19850225.0,USA,https://en.wikipedia.org/wiki/Jeffrey_Dahmer
102375,Dinu,Pescariu,R,19740412.0,ROU,https://en.wikipedia.org/wiki/Dinu_Pescariu
115027,David,Brechner,,,USA,https://en.wikipedia.org/wiki/David_Buechner
123326,Christian,Steffen,U,19710804.0,GER,https://en.wikipedia.org/wiki/Christian_Steffensen_Bang
108385,Thomas,Emmrich,R,,GBR,https://en.wikipedia.org/wiki/Thomas_Emmrich
113964,H,Wheeler,,,GBR,https://en.wikipedia.org/wiki/A._H._Wheeler
205040,Roberto,Gomez,U,19880308.0,MEX,https://en.wikipedia.org/wiki/Roberto_Gomez
100318,Roger,Guedes,R,19531103.0,BRA,https://en.wikipedia.org/wiki/Roger_Guedes
132351,Alexander,Chepik,R,19960506.0,RUS,https://en.wikipedia.org/wiki/Alexander_Chepakovich
135851,Yosuke,Takeuchi,R,19921014.0,JPN,https://en.wikipedia.org/wiki/Yosuke_Takeuchi
105233,Jeevan,Nedunchezhiyan,L,19881020.0,IND,https://en.wikipedia.org/wiki/Jeevan_Nedunchezhiyan
137485,Yoshikazu,Ysa,U,19930521.0,PER,https://en.wikipedia.org/wiki/Yoshikazu_Yasuhiko
141456,nan,nan,U,,SLO,https://en.wikipedia.org/wiki/Nan-Nan_Liu
131029,Manuel,Avina,U,19750125.0,MEX,https://en.wikipedia.org/wiki/Manuel_%C3%81vila_Camacho
104559,Teymuraz,Gabashvili,R,19850523.0,RUS,https://en.wikipedia.org/wiki/Teymuraz_Gabashvili
135068,Max,Kaye,U,19920804.0,USA,https://en.wikipedia.org/wiki/Max_Kase
114244,Eustace E,White,,,GBR,https://en.wikipedia.org/wiki/Eustace_White
105979,Augusto,Laranja,R,19920415.0,BRA,https://en.wikipedia.org/wiki/Augusto_Laranja
125902,David,Serrano,U,,ESP,https://en.wikipedia.org/wiki/David_Serrano
203127,Martin,Muller,U,19641213.0,BRA,https://en.wikipedia.org/wiki/Martin_M%C3%BCller
101210,Nam Ju,Bae,R,19651205.0,KOR,https://en.wikipedia.org/wiki/Nam-Ju_Bae
101365,Paul,Wekesa,R,19670702.0,KEN,https://en.wikipedia.org/wiki/Paul_Wekesa
119427,Nikola,Miskovic,U,19840427.0,SRB,https://en.wikipedia.org/wiki/Nikola_Mi%C5%A1kovi%C4%87
116960,X,Roby,,,USA,https://en.wikipedia.org/wiki/Xrobb_l-G%C4%A7a%C4%A1in_Temple
141537,Lionel,Fabre,U,19800519.0,FRA,https://en.wikipedia.org/wiki/Lionel_Faretein
126214,Alejandro,Tabilo,L,19970602.0,CHI,https://en.wikipedia.org/wiki/Alejandro_Tabilo
122281,Tobias,Schade,R,19841120.0,GER,https://en.wikipedia.org/wiki/Tobias_Schadewaldt
142933,Mark,Edney,U,19810729.0,AUS,https://en.wikipedia.org/wiki/Markedness
107362,Joel,Ross,R,,USA,https://en.wikipedia.org/wiki/Joel_Ross
108138,Roberto,Sancha,R,,ESP,https://en.wikipedia.org/wiki/Roberto_S%C3%A1nchez_Vilella
113270,Bob,Falkenburg,,19260129.0,USA,https://en.wikipedia.org/wiki/Bob_Falkenburg
128927,Igor,Trad,U,19850528.0,BRA,https://en.wikipedia.org/wiki/Igor_Tratnik
207812,Charl,Morgan,R,20010726.0,RSA,https://en.wikipedia.org/wiki/Carl_Morgan
107569,Li Wu,Zhang,R,,CHN,https://en.wikipedia.org/wiki/Liu_Zhang_(warlord)
131143,Andrew,Youl,U,19630608.0,AUS,https://en.wikipedia.org/wiki/Andrew_Young
128145,Deny,Eldo,U,19840528.0,IND,https://en.wikipedia.org/wiki/Denzil_Dowell
133143,Ryota,Kosaka,U,19980418.0,JPN,https://en.wikipedia.org/wiki/Ryota_Osaka
131320,Antonio,Izzo,U,19740910.0,ITA,https://en.wikipedia.org/wiki/Ant%C3%B4nio_Pizzonia
100327,Willem,Prinsloo,L,19540225.0,RSA,https://en.wikipedia.org/wiki/Willem_Prinsloo
135662,Felipe,Paiva,U,19870924.0,BRA,https://en.wikipedia.org/wiki/Filipe_Paiva
202853,Jacques,Laurent,U,,FRA,https://en.wikipedia.org/wiki/Jacques_Laurent
111735,Jordan,Rux,U,19880922.0,USA,https://en.wikipedia.org/wiki/Jordan_Rudess
201779,Kevin,Oneill,R,19670827.0,USA,https://en.wikipedia.org/wiki/Kevin_O%27Neill
101398,Neil,Borwick,L,19670915.0,AUS,https://en.wikipedia.org/wiki/Neil_Borwick
136277,Nathan,Hawke,U,19920812.0,AUS,https://en.wikipedia.org/wiki/Nathan_Haskell_Dole
116917,Walter Van Renssalaer,Berry,,18590729.0,USA,https://en.wikipedia.org/wiki/Walter_Van_Rensselaer_Berry
109918,Bill,Wright,R,,USA,https://en.wikipedia.org/wiki/Bill_Wright
132697,Mikhail,Belov,U,19960518.0,RUS,https://en.wikipedia.org/wiki/Mikhail_Belov
200000,Felix,Auger Aliassime,R,20000808.0,CAN,https://en.wikipedia.org/wiki/Felix_Auger_Aliassime
103666,Ilia,Kushev,R,19801213.0,BUL,https://en.wikipedia.org/wiki/Ilia_Kushev
133012,Ioannis,Ioannidis,U,19970922.0,GRE,https://en.wikipedia.org/wiki/Ioannis_Ioannidis
137077,Justin,Carter,U,19931005.0,USA,https://en.wikipedia.org/wiki/Justin_Carter
136521,Nicolas,Trigo,R,19860405.0,ARG,https://en.wikipedia.org/wiki/Nicolas_Trigault
102345,Nitten,Kirrtane,R,19740304.0,IND,https://en.wikipedia.org/wiki/Nitten_Kirrtane
106558,Aniceto,Alvarez,R,,ESP,https://en.wikipedia.org/wiki/Aniceto_%C3%81lvarez
105064,Thomaz,Bellucci,L,19871230.0,BRA,https://en.wikipedia.org/wiki/Thomaz_Bellucci
119246,Andre,Cury,R,19760630.0,BRA,https://en.wikipedia.org/wiki/Andr%C3%A9_Curbelo
200443,Adam,Walton,U,19990417.0,AUS,https://en.wikipedia.org/wiki/Adam_Walton
122235,Andre,Baldo,U,19950627.0,BRA,https://en.wikipedia.org/wiki/Andr%C3%A9_Balbon
128874,Guglielmo,Pecchi,U,19880323.0,ITA,https://en.wikipedia.org/wiki/Guglielmo_Picchi
114238,Ac,Butler,,,GBR,https://en.wikipedia.org/wiki/Al_Butler
126718,Valentin,Masse,L,19931228.0,FRA,https://en.wikipedia.org/wiki/Valent%C3%AD_Massana
201777,Harald,Schmidt,R,,DEN,https://en.wikipedia.org/wiki/Harald_Schmidt
120584,Siddharth,Raj,U,19911118.0,IND,https://en.wikipedia.org/wiki/Siddharth_Raj_Anand
105812,David,Agung Susanto,U,19910721.0,INA,https://en.wikipedia.org/wiki/David_Agung_Susanto
143359,Martin,Picard,U,19630808.0,USA,https://en.wikipedia.org/wiki/Martin_Picard
203988,Daniel,Herkert,U,,GER,https://en.wikipedia.org/wiki/Daniel_Herbert
133651,Robert,Popa,U,19970211.0,ROU,https://en.wikipedia.org/wiki/Robert_Popper
102263,Yong Il,Yoon,R,19730923.0,KOR,https://en.wikipedia.org/wiki/Yong_Il_Yoon
122930,Carlos,Soto,U,19671231.0,COL,https://en.wikipedia.org/wiki/Carlos_Soto
102379,Brian,Stanton,R,19740415.0,USA,https://en.wikipedia.org/wiki/Brian_Stanton
107424,Jose,Delafuente,R,,ESP,https://en.wikipedia.org/wiki/Jos%C3%A9_de_la_Fuente
100331,Jean Louis,Haillet,R,19540507.0,FRA,https://en.wikipedia.org/wiki/Jean-Louis_Haillet
109551,Jeff,Miller,R,19820302.0,USA,https://en.wikipedia.org/wiki/Jeff_Miller
135218,Xiao Xi,Song,U,19890101.0,CHN,https://en.wikipedia.org/wiki/Xiaoli_Song
120518,Mads,Melby,U,19890709.0,NOR,https://en.wikipedia.org/wiki/Mads_Melbye
118788,Steven,Kane,R,19821010.0,USA,https://en.wikipedia.org/wiki/Steven_Kane
116358,Pa,Valle,,,USA,https://en.wikipedia.org/wiki/P-Valley
134694,Stefano,Daza,U,19941206.0,VEN,https://en.wikipedia.org/wiki/Stefano_Dacastello
200271,Egor,Matvievici,,19970214.0,MDA,https://en.wikipedia.org/wiki/Egor_Matvievici
101958,Pierre,Bouteyre,R,19710907.0,FRA,https://en.wikipedia.org/wiki/Pierre_Bouteyre
